snapped_at,price,market_cap,total_volume
2021-07-13 00:00:00 UTC,2.8890388053467866e-06,1671088978.2548313,13089995.630051116
2021-07-14 00:00:00 UTC,2.8135370286372118e-06,1632377015.02592,12492187.293816673
2021-07-15 00:00:00 UTC,2.8499786461455496e-06,1646923045.3087623,13862782.16688272
2021-07-16 00:00:00 UTC,2.827786970347444e-06,1625899964.4275827,14057254.2000528
2021-07-17 00:00:00 UTC,2.7704399630383617e-06,1608561111.185845,14507717.472169805
2021-07-18 00:00:00 UTC,2.769063596097329e-06,1608077788.157309,14720364.977905257
2021-07-19 00:00:00 UTC,2.9644816420977144e-06,1718587623.8731954,16628355.657476928
2021-07-20 00:00:00 UTC,2.566861004901597e-06,1487886598.8517764,15575814.960091526
2021-07-21 00:00:00 UTC,2.3758234806706708e-06,1377843666.8896074,18283752.1064691
2021-07-22 00:00:00 UTC,2.6677864914532146e-06,1541611688.5339353,16988201.90066768
2021-07-23 00:00:00 UTC,2.700989059218209e-06,1558298955.393367,18443607.74120985
2021-07-24 00:00:00 UTC,2.638313499664358e-06,1529498808.2268362,15078514.724418292
2021-07-25 00:00:00 UTC,2.73046218813123e-06,1575486955.5512266,14756351.89190045
2021-07-26 00:00:00 UTC,2.793985970581486e-06,1617121886.2094436,13977897.722640881
2021-07-27 00:00:00 UTC,2.671693729593944e-06,1557063790.3851707,14848109.524345277
2021-07-28 00:00:00 UTC,2.594470785253492e-06,1504053981.6614187,18645697.252767216
2021-07-29 00:00:00 UTC,2.681300098117801e-06,1559838706.929435,14013658.47239798
2021-07-30 00:00:00 UTC,2.483395874158974e-06,1440933370.7479398,15447628.303228334
2021-07-31 00:00:00 UTC,2.36421183649116e-06,1341751481.1644413,21964830.55822664
2021-08-01 00:00:00 UTC,2.258255095532846e-06,1358700680.4269443,15564207.456964307
2021-08-02 00:00:00 UTC,2.2937232436675766e-06,1325354914.6105442,11772924.907167738
2021-08-03 00:00:00 UTC,2.0584925730651465e-06,1198566660.5695016,16441469.05670346
